candidate_id,expression_hash,expression,factor_lane,source_lane,source_generator,fields,fields_list,max_window,search_memory_key,fresh_search_intent,x0_r3_role,note
phase3bn_open_diversified_00001,2cedc70bf2c7e8fb6e6b4d85,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,2)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",2,phase3bn:2cedc70bf2c7e8fb6e6b4d85,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00002,3e5fa2a3bbbb475b094bb083,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,2)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",2,phase3bn:3e5fa2a3bbbb475b094bb083,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00003,f360b4ed49b04e59022a973c,"CSRank(Div(Sub($m1_first5_last_close,$open),Add(Abs($open),0.000001)))",opening_directional_return,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_last_close|open,"['m1_first5_last_close', 'open']",0,phase3bn:f360b4ed49b04e59022a973c,true,read_only_research_candidate,opening-window directional move from open
phase3bn_open_diversified_00004,67d707bef48e171f3572984d,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,2))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",2,phase3bn:67d707bef48e171f3572984d,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00005,e5a95d446f75167f8daffa48,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,3)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",3,phase3bn:e5a95d446f75167f8daffa48,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00006,a07cfa21db12f8efdbf26a38,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,3)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",3,phase3bn:a07cfa21db12f8efdbf26a38,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00007,00228735d68cd091d505bd81,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,3))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",3,phase3bn:00228735d68cd091d505bd81,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00008,f1b0c7d2d519bebc6556cba1,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,5)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",5,phase3bn:f1b0c7d2d519bebc6556cba1,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00009,0766c65699fc6a45c03d2d64,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,5)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",5,phase3bn:0766c65699fc6a45c03d2d64,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00010,b9b9a75300a7c8e2c2b0a68d,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,5))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",5,phase3bn:b9b9a75300a7c8e2c2b0a68d,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00011,16868bd43ad03ef480739a0d,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,8)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",8,phase3bn:16868bd43ad03ef480739a0d,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00012,df6990c194b9cc318652ed2b,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,8)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",8,phase3bn:df6990c194b9cc318652ed2b,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00013,4b351943fc7e7b9549b870ca,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,8))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",8,phase3bn:4b351943fc7e7b9549b870ca,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00014,61e1e61c9ed83576ee6f9159,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,10)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",10,phase3bn:61e1e61c9ed83576ee6f9159,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00015,3c4ad362a4a29ce94810f94e,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,10)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",10,phase3bn:3c4ad362a4a29ce94810f94e,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00016,93ca0af79aa4158756a8fc7b,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,10))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",10,phase3bn:93ca0af79aa4158756a8fc7b,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00017,fbd659a648c03d66aa371ed1,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,15)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",15,phase3bn:fbd659a648c03d66aa371ed1,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00018,6af3e082fa71f6d767a1c745,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,15)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",15,phase3bn:6af3e082fa71f6d767a1c745,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00019,2bd85d0e14166170979289d6,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,15))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",15,phase3bn:2bd85d0e14166170979289d6,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00020,195df7391ac685979f3a7d96,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,20)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",20,phase3bn:195df7391ac685979f3a7d96,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00021,5ba0567e5568ffe3632dc6ea,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,20)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",20,phase3bn:5ba0567e5568ffe3632dc6ea,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00022,2fdad72b9a55468e176828a7,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,20))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",20,phase3bn:2fdad72b9a55468e176828a7,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00023,6c44439e692759dfeba2fba8,"CSRank(Div($m1_first5_amount,Add(Abs(Mean($amount,30)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first5_amount,"['amount', 'm1_first5_amount']",30,phase3bn:6c44439e692759dfeba2fba8,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00024,65b3d3c50aebd77643e78bc6,"CSRank(Sub(ZScore(Div($m1_first5_vol,Add(Abs(Mean($volume,30)),0.000001))),ZScore(Div($m1_first5_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_range|m1_first5_vol|open|volume,"['m1_first5_range', 'm1_first5_vol', 'open', 'volume']",30,phase3bn:65b3d3c50aebd77643e78bc6,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00025,6dae263a48cc91560ce37a1f,"CSRank(Sub(ZScore($m1_first5_vwap_return_vs_open),ZScore(Delta($ret_1m,30))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first5_vwap_return_vs_open|ret_1m,"['m1_first5_vwap_return_vs_open', 'ret_1m']",30,phase3bn:6dae263a48cc91560ce37a1f,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00026,3b6490147019e33ed6b82c99,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,2)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",2,phase3bn:3b6490147019e33ed6b82c99,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00027,9a9bb8218c4505034421adc7,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,2)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",2,phase3bn:9a9bb8218c4505034421adc7,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00028,28a9cab6ba880f3bbcfdaee4,"CSRank(Div(Sub($m1_first15_last_close,$open),Add(Abs($open),0.000001)))",opening_directional_return,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_last_close|open,"['m1_first15_last_close', 'open']",0,phase3bn:28a9cab6ba880f3bbcfdaee4,true,read_only_research_candidate,opening-window directional move from open
phase3bn_open_diversified_00029,fef272f7698645f63c675059,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,2))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",2,phase3bn:fef272f7698645f63c675059,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00030,a203f0935c9f149c0246c330,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,3)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",3,phase3bn:a203f0935c9f149c0246c330,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00031,77c1c68b0909e0ca98dea4b5,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,3)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",3,phase3bn:77c1c68b0909e0ca98dea4b5,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00032,549476ae2c4e628c592d8198,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,3))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",3,phase3bn:549476ae2c4e628c592d8198,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00033,09cd1173bb9cc0550bc74f2a,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,5)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",5,phase3bn:09cd1173bb9cc0550bc74f2a,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00034,87efc122c5f7ec6b10a078bf,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,5)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",5,phase3bn:87efc122c5f7ec6b10a078bf,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00035,b7c4ed2f7529c5e30306824b,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,5))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",5,phase3bn:b7c4ed2f7529c5e30306824b,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00036,55c1d5fd4ae7e77547f8dc07,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,8)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",8,phase3bn:55c1d5fd4ae7e77547f8dc07,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00037,e2cf4e4dc94f7ebb9cc870ae,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,8)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",8,phase3bn:e2cf4e4dc94f7ebb9cc870ae,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00038,a6d29e53b44b5d68101c67b2,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,8))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",8,phase3bn:a6d29e53b44b5d68101c67b2,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00039,ea47d638894e9e90ece55b2f,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,10)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",10,phase3bn:ea47d638894e9e90ece55b2f,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00040,d43546e47e30af103db991bc,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,10)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",10,phase3bn:d43546e47e30af103db991bc,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00041,4322af929d59a70c42468947,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,10))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",10,phase3bn:4322af929d59a70c42468947,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00042,5543bff44d7d8c52bfdee5b9,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,15)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",15,phase3bn:5543bff44d7d8c52bfdee5b9,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00043,62ba3f41e3021b0e3561f5f8,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,15)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",15,phase3bn:62ba3f41e3021b0e3561f5f8,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00044,a38f226feae4e673332ac920,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,15))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",15,phase3bn:a38f226feae4e673332ac920,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00045,64e2cf473043bbe6e93c9a1f,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,20)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",20,phase3bn:64e2cf473043bbe6e93c9a1f,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
phase3bn_open_diversified_00046,7d7d42788becad5eb0ebb31e,"CSRank(Sub(ZScore(Div($m1_first15_vol,Add(Abs(Mean($volume,20)),0.000001))),ZScore(Div($m1_first15_range,Add(Abs($open),0.000001)))))",opening_volume_range_imbalance,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_range|m1_first15_vol|open|volume,"['m1_first15_range', 'm1_first15_vol', 'open', 'volume']",20,phase3bn:7d7d42788becad5eb0ebb31e,true,read_only_research_candidate,opening volume pressure net of opening range
phase3bn_open_diversified_00047,f9645b18f05d443da7642e4d,"CSRank(Sub(ZScore($m1_first15_vwap_return_vs_open),ZScore(Delta($ret_1m,20))))",opening_vs_intraday_return_divergence,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,m1_first15_vwap_return_vs_open|ret_1m,"['m1_first15_vwap_return_vs_open', 'ret_1m']",20,phase3bn:f9645b18f05d443da7642e4d,true,read_only_research_candidate,opening VWAP move contrasted with recent minute return
phase3bn_open_diversified_00048,c4940e350ef23c374161f56a,"CSRank(Div($m1_first15_amount,Add(Abs(Mean($amount,30)),0.000001)))",opening_amount_pressure,phase3bn_open_fresh,phase3bn_open_diversified_true1min_canary_v1,amount|m1_first15_amount,"['amount', 'm1_first15_amount']",30,phase3bn:c4940e350ef23c374161f56a,true,read_only_research_candidate,opening auction/session amount pressure against rolling amount
