candidate_id,expression_hash,run,source_round,generator_arm,generator_route,source_generator,source_lane,factor_lane,field_family,primitive_family,event_state_family,horizon_bucket,turnover_bucket,family_id,motif_id,subtree_hashes,phase3ca_proxy_quality,proxy_quality,aligned_ic_mean,spread_hit_rate,mean_one_way_turnover,fields,expression,train_reward,train_day_sortino,train_minute_sortino,train_worst_horizon_day_sortino,train_median_horizon_day_sortino,train_horizon_sortino_stdev,train_day_mcmc_p25,train_day_mcmc_prob_gt_0,train_mean_one_way_turnover,validation_day_sortino,validation_day_mcmc_prob_gt_0,holdout_day_sortino,holdout_day_mcmc_prob_gt_0,inherited_blockers,train_reward_blockers,train_reward_decision,seed,round_id,parent_id,mutation_type,blocker_flags,validation_mcmc_prob_gt_0,holdout_mcmc_prob_gt_0
phase3cp_00030,c8af19143070433e5893b16e,search_outputs,event_state/round1_scheduler_controlled,event_state,future-event-state-generator,phase3cp_event_state_from_co,phase3cp_event_state_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.1765104,0.03012,0.03012,0.542168,0.62,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),30))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",0.3239756,0.9850427,0.9850427,0.03156776,0.60061356,1.34441544,0.5284716,0.94983278,0.71037371,0.23401585,0.63265306,2.36984576,0.8487395,,,TRAIN_REWARD_FOLLOWUP_READY,,event_state/round1_scheduler_controlled,,,,0.63265306,0.8487395
phase3cp_00003,f935251770c9667bfc4d7cbd,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,82d605af753316a0b5,87fee8d17c1e7d99c6,6311c4234f5c,0.2172444,0.03282,0.03282,0.545948,0.42,close|high|low|m1_first5_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),5))),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",-0.15805198,0.11524058,0.11524058,-0.26848687,0.02187942,0.34201387,-0.15866998,0.595,0.71343811,0.80293969,0.79927667,-0.07317269,0.40709459,,non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.79927667,0.40709459
phase3cp_00023,cc39d7f681d1d4c000a17559,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,rx_interaction::rx_range_location::rx_opening_amount::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6ace37bd35f0fab316,1d5c220e77d0c0ecd6,4ccb0eead839,0.2081904,0.03412,0.03412,0.547768,0.58,close|high|low|m1_first30_vol|volume,"CSRank(Mul(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-0.5292948,-0.29306513,-0.29306513,-0.54444123,-0.09851693,0.2591348,-0.48472811,0.19333333,0.73007073,-0.33648268,0.22370618,0.4324352,0.66909091,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.22370618,0.66909091
phase3cp_00002,fa31569138d684c28bd7dde3,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.2244264,0.03492,0.03492,0.548888,0.42,amount|high|low|m1_first5_amount|open,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",-0.60969415,-0.52805141,-0.52805141,-0.73773078,-0.55905948,0.3464025,-0.67416589,0.02833333,0.41225427,-0.66896722,0.04,-0.64925742,0.03333333,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.04,0.03333333
phase3cp_00014,de754dc2683bb8910406faab,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,c3be9eb0a3620ec39b,651e90e40fe181795a,a920d91b48eb,0.2309244,0.03682,0.03682,0.551548,0.48,amount|high|low|m1_first5_amount|open,"CSRank(Mul(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",-0.84403228,-0.74277313,-0.74277313,-0.89207948,-0.76672736,0.30213705,-0.81392522,0,0.61626952,-0.71103792,0,-0.96612032,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00034,be3cead61bcf3ae05d5ae47e,search_outputs,random_orthogonal/round1_scheduler_controlled,random_orthogonal,control-random-orthogonal,phase3cp_random_orthogonal_control_from_co,phase3cp_random_orthogonal_control_from_co,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,6dfdc2653ce052bd27,0881b8b05eb644e6d5,9fcbc555e2eb,0.1171484,0.02402,0.02402,0.533628,0.5,amount|high|low|m1_first5_amount|open,"CSRank(Sub(ZScore(Div($m1_first5_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),3))))",-0.87282014,-0.78230365,-0.78230365,-0.88435706,-0.80672487,0.27531325,-0.84999433,0,0.61862,-0.79674441,0,-0.96496252,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,random_orthogonal/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00009,d79ef720c2510971b68cb4e3,search_outputs,rx_ucb_fresh/round1_scheduler_controlled,rx_ucb_fresh,phase3bs-adaptive-ucb-cem-practice,phase3cp_rx_ucb_fresh_from_co,phase3cp_rx_ucb_fresh_from_co,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,9e96ab1433d465d733,b244beaf15854a7b91,5fa9d9e6c005,0.2196384,0.03352,0.03352,0.546928,0.42,amount|high|low|m1_first15_amount|open,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",-0.87506302,-0.80287671,-0.80287671,-0.87388393,-0.71361914,0.18322775,-0.89615558,0,0.59770498,-0.7971145,0,-0.89780108,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,rx_ucb_fresh/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00035,c0a7b4180fa546725dfc4b2e,search_outputs,random_orthogonal/round1_scheduler_controlled,random_orthogonal,control-random-orthogonal,phase3cp_random_orthogonal_control_from_co,phase3cp_random_orthogonal_control_from_co,rx_interaction::rx_opening_amount::rx_range_location::product,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,e405978a5756844266,1b38f4fc4f33328707,f58dce0e901e,0.2039064,0.02892,0.02892,0.540488,0.5,amount|high|low|m1_first15_amount|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",-0.89514537,-0.81424007,-0.81424007,-0.90243398,-0.7655221,0.2006423,-0.87261106,0,0.61291017,-0.69093691,0,-0.96482945,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,random_orthogonal/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00026,cb9eab78dc5c9f512d674c95,search_outputs,event_state/round1_scheduler_controlled,event_state,future-event-state-generator,phase3cp_event_state_from_co,phase3cp_event_state_from_co,rx_interaction::rx_opening_amount::rx_range_location::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,f3d0ccad29ac7200a7,0a3fdd7a0e3b1ee514,2f158d4bbf6b,0.1812984,0.03152,0.03152,0.544128,0.62,amount|high|low|m1_first30_amount|open,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",-0.95400507,-0.90254709,-0.90254709,-0.91890511,-0.76707964,0.16022161,-0.92589909,0,0.60693077,-0.80917792,0,-0.89780108,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,event_state/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00024,302c068ebfff8ae1c3e35c64,search_outputs,challenger_repair/round1_scheduler_controlled,challenger_repair,future-phase3cr-repair,phase3cp_challenger_repair_from_co,phase3cp_challenger_repair_from_co,cem_interaction::rx_range_location::rx_opening_amount::residual,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,4926a97a8ff2d2c4d5,213c37a95c7c7e138f,4c11fea9a366,0.2129784,0.03552,0.03552,0.549728,0.58,close|high|low|m1_first5_vol|volume,"CSRank(CSResidual(CSRank(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),10))),CSRank(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",-1.07068129,-0.937892,-0.937892,-0.95545153,-0.95228936,0.04515956,-0.95429902,0,0.71682401,-0.97299854,0,-0.90731796,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,challenger_repair/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00016,c70cc97d5c573accb984ae6f,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,cem_interaction::rx_range_location::rx_opening_amount::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.2381064,0.03892,0.03892,0.554488,0.48,close|high|low|m1_first30_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),2))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-1.09496861,-0.96163452,-0.96163452,-0.96071057,-0.94267228,0.01055909,-0.97254808,0,0.72517649,-0.92128683,0,-0.94535973,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.0,0.0
phase3cp_00012,eb4b97fd2cd1153daeddd57c,search_outputs,typed_ast_fresh/round1_scheduler_controlled,typed_ast_fresh,phase3bt-ast-algorithm-bakeoff,phase3cp_typed_ast_fresh_from_co,phase3cp_typed_ast_fresh_from_co,rx_interaction::rx_range_location::rx_opening_amount::spread,flow_amount_volume+opening_state+range_location,cross_sectional+time_series+arithmetic+state_transform,opening_state,multi_or_unknown,medium_turnover,dd0cbfd4948290aab1,33b91cd228d05c4f76,6d9e26612dcc,0.2357124,0.03822,0.03822,0.553508,0.48,close|high|low|m1_first30_vol|volume,"CSRank(Sub(ZScore(Sub(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),Mean(Div(Sub($close,$low),Add(Abs(Sub($high,$low)),0.000001)),8))),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",-1.09929258,-0.96585504,-0.96585504,-0.96641964,-0.96153038,0.02217481,-0.97547741,0,0.72516255,-0.97779251,0,-0.91695895,0,,non_positive_train_day_sortino|non_positive_worst_horizon_train_sortino|weak_train_day_mcmc,HOLD_TRAIN_REWARD,,typed_ast_fresh/round1_scheduler_controlled,,,,0.0,0.0
