expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,future_wrong_lag_horizon_count,phase3bp_blocker_flags,phase3bp_decision
c0a7b4180fa546725dfc4b2e,phase3bp_00105,,rx_interaction::rx_opening_amount::rx_range_location::product,amount|high|low|m1_first15_amount|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",30,4,0.02216509187,0.06584304445,0.6258389262,-1.683116631e-05,0.001685955937,0.4966442953,0.008362687756,0.01534874275,0.6750398653,2554,194135,207055,1,0,0.02216509187,-1.683116631e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first15_amount x range_vol_5 product,long_top,0.02216509187,1,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
bad2dac6f562c7a32403a4fc,phase3bp_00107,,rx_interaction::rx_opening_amount::rx_range_location::spread,amount|high|low|m1_first30_amount|open,"CSRank(Sub(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),5))))",30,4,0.0217072448,0.06800866269,0.5989208633,-2.842635239e-05,0.001709446278,0.4928057554,0.008119990976,0.01869011989,0.6666007481,2554,181247,207055,1,0,0.0217072448,-2.842635239e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first30_amount x range_vol_5 spread,long_top,0.0217072448,1,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
b69c81e209d78548623d085c,phase3bp_00108,,rx_interaction::rx_opening_amount::rx_range_location::product,amount|high|low|m1_first30_amount|open,"CSRank(Mul(ZScore(Div($m1_first30_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",30,4,0.02001261363,0.06724922596,0.6151079137,-8.462472114e-05,0.001650971518,0.464028777,0.006659886307,0.01569577224,0.6355366891,2554,181244,207055,1,0,0.02001261363,-8.462472114e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first30_amount x range_vol_10 product,long_top,0.02001261363,1,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
d79ef720c2510971b68cb4e3,phase3bp_00097,,rx_interaction::rx_opening_amount::rx_range_location::spread,amount|high|low|m1_first15_amount|open,"CSRank(Sub(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",30,4,0.01953624415,0.07021546784,0.6023489933,-0.0001722394407,0.001793268737,0.4463087248,0.009861861245,0.017356997,0.6387065392,2554,194135,207055,1,0,0.01953624415,-0.0001722394407,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first15_amount x range_vol_8 spread,long_top,0.01953624415,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
bbdce13fae36e19225ae432c,phase3bp_00106,,rx_interaction::rx_opening_amount::rx_range_location::product,amount|high|low|m1_first15_amount|open,"CSRank(Mul(ZScore(Div($m1_first15_amount,Add(Abs($amount),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",30,4,0.01938305126,0.06828348959,0.6124161074,-0.000153482403,0.001705046842,0.4580536913,0.009121516661,0.01479951401,0.6355561027,2554,194132,207055,1,0,0.01938305126,-0.000153482403,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first15_amount x range_vol_10 product,long_top,0.01938305126,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
a2e5350d1b33595611163614,phase3bp_00111,,rx_interaction::rx_opening_range::rx_range_location::product,high|low|m1_first5_high|m1_first5_low|open,"CSRank(Mul(ZScore(Div(Sub($m1_first5_high,$m1_first5_low),Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),15))))",1,4,0.007300918965,0.04989276415,0.5191082803,4.149715337e-05,0.0003260601744,0.4904458599,0.002986470047,0.005770551006,0.6567551308,2565,204413,207055,1,0,0.007300918965,4.149715337e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first5_actual_range x range_vol_15 product,long_top,0.007300918965,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
aafddca7f816cfc73c5ae0c1,phase3bp_00109,,rx_interaction::rx_opening_range::rx_range_location::product,high|low|m1_first5_high|m1_first5_low|open,"CSRank(Mul(ZScore(Div(Sub($m1_first5_high,$m1_first5_low),Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),10))))",1,4,0.006804721278,0.05109690481,0.5350318471,4.080844542e-05,0.0003275153351,0.5063694268,0.003390780975,0.004553423138,0.6675994229,2571,204413,207055,1,0,0.006804721278,4.080844542e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first5_actual_range x range_vol_10 product,long_top,0.006804721278,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
93826c8e779a0ea16af4ea07,phase3bp_00112,,rx_interaction::rx_opening_range::rx_range_location::product,high|low|m1_first5_high|m1_first5_low|open,"CSRank(Mul(ZScore(Div(Sub($m1_first5_high,$m1_first5_low),Add(Abs($open),0.000001))),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),8))))",1,4,0.006791856724,0.05198115303,0.5238853503,3.831460776e-05,0.0003437645388,0.5175159236,0.002683871738,0.004749578279,0.6764686014,2568,204416,207055,1,0,0.006791856724,3.831460776e-05,,bl_signal_materialized_pass,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.11,hybrid arm from phase3bp_true1min_rx_ucb_native: rx interaction m1_first5_actual_range x range_vol_8 product,long_top,0.006791856724,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f965906766b187f89928b48d,phase3bp_00002,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_type_code,"Neg(CSRank(WindowStateCount($evt_uplimit_type_code,10)))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.07,hybrid arm from phase3bp_true1min_typed_event_state: typed event atom evt_uplimit_type_code_window_state_count_10 role=event_state_search class=event_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
e99511a5c5d00ffd7966fead,phase3bp_00004,,typed_event_state::event_payload_state::event_rank,evt_uplimit_auction_buy,"CSRank(WindowStateCount($evt_uplimit_auction_buy,10))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.07,hybrid arm from phase3bp_true1min_typed_event_state: typed event atom evt_uplimit_auction_buy_window_state_count_10 role=event_state_search class=event_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
d04a40a262d710a15ba4ac67,phase3bp_00008,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_auction_money,"Neg(CSRank(WindowStateCount($evt_uplimit_auction_money,10)))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.07,hybrid arm from phase3bp_true1min_typed_event_state: typed event atom evt_uplimit_auction_money_window_state_count_10 role=event_state_search class=event_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
bc57ab5e618048783a7e646b,phase3bp_00012,,typed_event_state::event_payload_state::event_rank,evt_uplimit_auction_offer,"CSRank(WindowStateCount($evt_uplimit_auction_offer,10))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.07,hybrid arm from phase3bp_true1min_typed_event_state: typed event atom evt_uplimit_auction_offer_window_state_count_10 role=event_state_search class=event_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
af7e57ed2cf5764a877878f9,phase3bp_00016,,typed_event_state::event_payload_state::event_inverted,evt_uplimit_fd_close,"Neg(CSRank(WindowStateCount($evt_uplimit_fd_close,10)))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.07,hybrid arm from phase3bp_true1min_typed_event_state: typed event atom evt_uplimit_fd_close_window_state_count_10 role=event_state_search class=event_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f3bb4f9a3da49d763f1080df,phase3bp_00020,,typed_lagged_context::coverage_guarded_context::context_inverted,amount|ctx_ths_hot_rank_diff,"Neg(CSRank(SafeCSResidual($ctx_ths_hot_rank_diff,$amount,20,5,0.8)))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.08,hybrid arm from phase3bp_true1min_typed_event_state: typed lagged context atom ctx_ths_hot_rank_diff_safe_residual_amount role=lagged_context_search class=lagged_context,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
c8b48fd739476cb0ebd41943,phase3bp_00028,,typed_lagged_context::coverage_guarded_context::context_rank,amount|ctx_ths_hot_circulation_value,"CSRank(SafeCSResidual($ctx_ths_hot_circulation_value,$amount,20,5,0.8))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.08,hybrid arm from phase3bp_true1min_typed_event_state: typed lagged context atom ctx_ths_hot_circulation_value_safe_residual_amount role=lagged_context_search class=lagged_context,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
ff8c6ad00332048936263d3f,phase3bp_00033,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_zls_strong,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_zls_strong_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
ff4ced6a55185facaab61319,phase3bp_00034,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,amount|ctx_ths_hot_last_pct|evt_uplimit_up_limit_keep_times,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_ths_hot_last_pct,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_ths_hot_last_pct_safe_residual_amount event_minus_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
fc770d6b18cb4e5c05ab3763,phase3bp_00035,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,amount|ctx_sent_lb_3_num|evt_uplimit_up_limit_keep_times,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_lb_3_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_lb_3_num_safe_residual_amount event_minus_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
fbc868f84b60b94a37eeac32,phase3bp_00036,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,amount|ctx_ths_hot_circulation_value|evt_uplimit_type_code,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_ths_hot_circulation_value,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_ths_hot_circulation_value_safe_residual_amount event_minus_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f9f2cd13d24065190b78053f,phase3bp_00038,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_sent_mian_num|evt_uplimit_up_limit_keep_times,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_mian_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_mian_num_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f943ef5af374d2d642403799,phase3bp_00039,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_sent_downlimit_num|evt_uplimit_up_limit_keep_times,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_downlimit_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_downlimit_num_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f86020d90a53db5818a61e72,phase3bp_00040,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_sent_lb_2_num|evt_uplimit_type_code,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_sent_lb_2_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_sent_lb_2_num_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f5d58051405c4fbf7b7ab7d3,phase3bp_00042,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_sent_ditian_num|evt_uplimit_up_limit_keep_times,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_up_limit_keep_times,10)),CSRank(SafeCSResidual($ctx_sent_ditian_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_up_limit_keep_times_window_state_count_10 x ctx_sent_ditian_num_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f4d0f4e9190c23955c8e1bab,phase3bp_00043,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_minus_state,amount|ctx_sent_downlimit_num|evt_uplimit_type_code,"CSRank(Sub(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_sent_downlimit_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_sent_downlimit_num_safe_residual_amount event_minus_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
f3197cabc11fe1ebefa35062,phase3bp_00044,,typed_event_interaction::event_payload_state::coverage_guarded_context::event_x_state,amount|ctx_sent_lt5_num|evt_uplimit_type_code,"CSRank(Mul(CSRank(WindowStateCount($evt_uplimit_type_code,10)),CSRank(SafeCSResidual($ctx_sent_lt5_num,$amount,20,5,0.8))))",1,4,,,,,,,,,,0,0,207055,1,0,,,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_hybrid_rx_cem,phase3bp_true1min_hybrid_rx_cem,0.09,hybrid arm from phase3bp_true1min_typed_event_state: typed event interaction evt_uplimit_type_code_window_state_count_10 x ctx_sent_lt5_num_safe_residual_amount event_x_state,short_top,,0,0,too_few_positive_horizons|weak_dense_primary_abs_ic,bp_watch_or_reject
