field,field_lane,split,rows,nonnull,nonzero,nonnull_ratio,nonzero_ratio
amount,direct_formula,test,7643556,7643556,7479882,1,0.97858667
amount,direct_formula,train,22549888,22549888,21965117,1,0.97406768
amount,direct_formula,validation,7745740,7745740,7607996,1,0.98221681
amount_yuan,direct_formula,test,7643556,7643556,7479882,1,0.97858667
amount_yuan,direct_formula,train,22549888,22549888,21965117,1,0.97406768
amount_yuan,direct_formula,validation,7745740,7745740,7607996,1,0.98221681
close,direct_formula,test,7643556,7643556,7643556,1,1
close,direct_formula,train,22549888,22549888,22549888,1,1
close,direct_formula,validation,7745740,7745740,7745740,1,1
high,direct_formula,test,7643556,7643556,7643556,1,1
high,direct_formula,train,22549888,22549888,22549888,1,1
high,direct_formula,validation,7745740,7745740,7745740,1,1
intraday_ret_from_open,direct_formula,test,7643556,7643556,7365941,1,0.96367986
intraday_ret_from_open,direct_formula,train,22549888,22549888,21613222,1,0.9584625
intraday_ret_from_open,direct_formula,validation,7745740,7745740,7473676,1,0.96487566
low,direct_formula,test,7643556,7643556,7643556,1,1
low,direct_formula,train,22549888,22549888,22549888,1,1
low,direct_formula,validation,7745740,7745740,7745740,1,1
m1_first15_amount,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_amount,direct_formula,train,22549888,21239936,21224273,0.94190871,0.94121412
m1_first15_amount,direct_formula,validation,7745740,7295780,7294418,0.94190871,0.94173288
m1_first15_high,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_high,direct_formula,train,22549888,21239936,21239936,0.94190871,0.94190871
m1_first15_high,direct_formula,validation,7745740,7295780,7295780,0.94190871,0.94190871
m1_first15_last_close,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_last_close,direct_formula,train,22549888,21239936,21239936,0.94190871,0.94190871
m1_first15_last_close,direct_formula,validation,7745740,7295780,7295780,0.94190871,0.94190871
m1_first15_last_return_vs_open,direct_formula,test,7643556,7199532,6869928,0.94190871,0.8987869
m1_first15_last_return_vs_open,direct_formula,train,22549888,21239936,20214350,0.94190871,0.89642796
m1_first15_last_return_vs_open,direct_formula,validation,7745740,7295780,6973667,0.94190871,0.90032289
m1_first15_low,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_low,direct_formula,train,22549888,21239936,21239936,0.94190871,0.94190871
m1_first15_low,direct_formula,validation,7745740,7295780,7295780,0.94190871,0.94190871
m1_first15_range,direct_formula,test,7643556,7199532,7185912,0.94190871,0.94012682
m1_first15_range,direct_formula,train,22549888,21239936,21152314,0.94190871,0.93802302
m1_first15_range,direct_formula,validation,7745740,7295780,7281252,0.94190871,0.9400331
m1_first15_vol,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_vol,direct_formula,train,22549888,21239936,21224273,0.94190871,0.94121412
m1_first15_vol,direct_formula,validation,7745740,7295780,7294418,0.94190871,0.94173288
m1_first15_vwap,direct_formula,test,7643556,7199532,7199532,0.94190871,0.94190871
m1_first15_vwap,direct_formula,train,22549888,21224273,21224273,0.94121412,0.94121412
m1_first15_vwap,direct_formula,validation,7745740,7294418,7294418,0.94173288,0.94173288
m1_first15_vwap_return_vs_open,direct_formula,test,7643556,7199532,7191587,0.94190871,0.94086928
m1_first15_vwap_return_vs_open,direct_formula,train,22549888,21224273,21189769,0.94121412,0.939684
m1_first15_vwap_return_vs_open,direct_formula,validation,7745740,7294418,7288289,0.94173288,0.9409416
m1_first30_amount,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_amount,direct_formula,train,22549888,19836416,19821788,0.87966805,0.87901935
m1_first30_amount,direct_formula,validation,7745740,6813680,6812408,0.87966805,0.87950383
m1_first30_high,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_high,direct_formula,train,22549888,19836416,19836416,0.87966805,0.87966805
m1_first30_high,direct_formula,validation,7745740,6813680,6813680,0.87966805,0.87966805
m1_first30_last_close,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_last_close,direct_formula,train,22549888,19836416,19836416,0.87966805,0.87966805
m1_first30_last_close,direct_formula,validation,7745740,6813680,6813680,0.87966805,0.87966805
m1_first30_last_return_vs_open,direct_formula,test,7643556,6723792,6480840,0.87966805,0.84788284
m1_first30_last_return_vs_open,direct_formula,train,22549888,19836416,18974636,0.87966805,0.84145145
m1_first30_last_return_vs_open,direct_formula,validation,7745740,6813680,6564368,0.87966805,0.84748107
m1_first30_low,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_low,direct_formula,train,22549888,19836416,19836416,0.87966805,0.87966805
m1_first30_low,direct_formula,validation,7745740,6813680,6813680,0.87966805,0.87966805
m1_first30_range,direct_formula,test,7643556,6723792,6711496,0.87966805,0.87805937
m1_first30_range,direct_formula,train,22549888,19836416,19756068,0.87966805,0.87610493
m1_first30_range,direct_formula,validation,7745740,6813680,6800324,0.87966805,0.87794375
m1_first30_vol,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_vol,direct_formula,train,22549888,19836416,19821788,0.87966805,0.87901935
m1_first30_vol,direct_formula,validation,7745740,6813680,6812408,0.87966805,0.87950383
m1_first30_vwap,direct_formula,test,7643556,6723792,6723792,0.87966805,0.87966805
m1_first30_vwap,direct_formula,train,22549888,19821788,19821788,0.87901935,0.87901935
m1_first30_vwap,direct_formula,validation,7745740,6812408,6812408,0.87950383,0.87950383
m1_first30_vwap_return_vs_open,direct_formula,test,7643556,6723792,6716584,0.87966805,0.87872503
m1_first30_vwap_return_vs_open,direct_formula,train,22549888,19821788,19790836,0.87901935,0.87764675
m1_first30_vwap_return_vs_open,direct_formula,validation,7745740,6812408,6806896,0.87950383,0.87879221
m1_first5_amount,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_amount,direct_formula,train,22549888,22175616,22159263,0.98340249,0.9826773
m1_first5_amount,direct_formula,validation,7745740,7617180,7615758,0.98340249,0.9832189
m1_first5_high,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_high,direct_formula,train,22549888,22175616,22175616,0.98340249,0.98340249
m1_first5_high,direct_formula,validation,7745740,7617180,7617180,0.98340249,0.98340249
m1_first5_last_close,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_last_close,direct_formula,train,22549888,22175616,22175616,0.98340249,0.98340249
m1_first5_last_close,direct_formula,validation,7745740,7617180,7617180,0.98340249,0.98340249
m1_first5_last_return_vs_open,direct_formula,test,7643556,7516692,7111896,0.98340249,0.93044337
m1_first5_last_return_vs_open,direct_formula,train,22549888,22175616,20851260,0.98340249,0.92467244
m1_first5_last_return_vs_open,direct_formula,validation,7745740,7617180,7205748,0.98340249,0.93028529
m1_first5_low,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_low,direct_formula,train,22549888,22175616,22175616,0.98340249,0.98340249
m1_first5_low,direct_formula,validation,7745740,7617180,7617180,0.98340249,0.98340249
m1_first5_range,direct_formula,test,7643556,7516692,7501287,0.98340249,0.98138707
m1_first5_range,direct_formula,train,22549888,22175616,22076550,0.98340249,0.9790093
m1_first5_range,direct_formula,validation,7745740,7617180,7600590,0.98340249,0.98126067
m1_first5_vol,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_vol,direct_formula,train,22549888,22175616,22159263,0.98340249,0.9826773
m1_first5_vol,direct_formula,validation,7745740,7617180,7615758,0.98340249,0.9832189
m1_first5_vwap,direct_formula,test,7643556,7516692,7516692,0.98340249,0.98340249
m1_first5_vwap,direct_formula,train,22549888,22159263,22159263,0.9826773,0.9826773
m1_first5_vwap,direct_formula,validation,7745740,7615758,7615758,0.9832189,0.9832189
m1_first5_vwap_return_vs_open,direct_formula,test,7643556,7516692,7507923,0.98340249,0.98225525
m1_first5_vwap_return_vs_open,direct_formula,train,22549888,22159263,22113996,0.9826773,0.98066988
m1_first5_vwap_return_vs_open,direct_formula,validation,7745740,7615758,7606752,0.9832189,0.9820562
open,direct_formula,test,7643556,7643556,7643556,1,1
open,direct_formula,train,22549888,22549888,22549888,1,1
open,direct_formula,validation,7745740,7745740,7745740,1,1
pct_chg,direct_formula,test,7643556,7643556,5152664,1,0.6741187
pct_chg,direct_formula,train,22549888,22549888,14891273,1,0.66037015
pct_chg,direct_formula,validation,7745740,7745740,5376854,1,0.69416918
ret_1m,direct_formula,test,7643556,7643554,5182201,0.99999974,0.677983
ret_1m,direct_formula,train,22549888,22549211,14976277,0.99996998,0.66413975
ret_1m,direct_formula,validation,7745740,7745739,5406616,0.99999987,0.69801155
vol,direct_formula,test,7643556,7643556,7479189,1,0.978496
vol,direct_formula,train,22549888,22549888,21964947,1,0.97406014
vol,direct_formula,validation,7745740,7745740,7607365,1,0.98213534
volume,direct_formula,test,7643556,7643556,7479189,1,0.978496
volume,direct_formula,train,22549888,22549888,21964947,1,0.97406014
volume,direct_formula,validation,7745740,7745740,7607365,1,0.98213534
vwap,direct_formula,test,7643556,7479189,7479189,0.978496,0.978496
vwap,direct_formula,train,22549888,21964947,21964947,0.97406014,0.97406014
vwap,direct_formula,validation,7745740,7607365,7607365,0.98213534,0.98213534
evt_uplimit_active,event_state,test,7643556,7643556,2618,1,0.00034251
evt_uplimit_active,event_state,train,22549888,22549888,10072,1,0.00044665
evt_uplimit_active,event_state,validation,7745740,7745740,4745,1,0.00061259
evt_uplimit_age_min,event_state,test,7643556,2618,2604,0.00034251,0.00034068
evt_uplimit_age_min,event_state,train,22549888,10072,10018,0.00044665,0.00044426
evt_uplimit_age_min,event_state,validation,7745740,4745,4723,0.00061259,0.00060975
evt_uplimit_amount,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_amount,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_amount,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_auction_buy,event_state,test,7643556,2618,2396,0.00034251,0.00031347
evt_uplimit_auction_buy,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_buy,event_state,validation,7745740,3722,3514,0.00048052,0.00045367
evt_uplimit_auction_money,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_money,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_money,event_state,validation,7745740,3722,3722,0.00048052,0.00048052
evt_uplimit_auction_offer,event_state,test,7643556,2618,2378,0.00034251,0.00031111
evt_uplimit_auction_offer,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_offer,event_state,validation,7745740,3722,3244,0.00048052,0.00041881
evt_uplimit_auction_pre1max_ratio,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_pre1max_ratio,event_state,train,22549888,0,0,0,0
evt_uplimit_auction_pre1max_ratio,event_state,validation,7745740,3722,3722,0.00048052,0.00048052
evt_uplimit_auction_turnover,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_auction_turnover,event_state,train,22549888,10072,0,0.00044665,0
evt_uplimit_auction_turnover,event_state,validation,7745740,4745,3722,0.00061259,0.00048052
evt_uplimit_fd_close,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_fd_close,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_fd_close,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_fd_max,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_fd_max,event_state,train,22549888,8061,7821,0.00035747,0.00034683
evt_uplimit_fd_max,event_state,validation,7745740,4745,4505,0.00061259,0.00058161
evt_uplimit_type_code,event_state,test,7643556,2618,0,0.00034251,0
evt_uplimit_type_code,event_state,train,22549888,10072,0,0.00044665,0
evt_uplimit_type_code,event_state,validation,7745740,4745,0,0.00061259,0
evt_uplimit_up_limit_keep_times,event_state,test,7643556,2618,2618,0.00034251,0.00034251
evt_uplimit_up_limit_keep_times,event_state,train,22549888,10072,10072,0.00044665,0.00044665
evt_uplimit_up_limit_keep_times,event_state,validation,7745740,4745,4745,0.00061259,0.00061259
ctx_sent_damian_num,lagged_context,test,7643556,7643556,3587767,1,0.46938454
ctx_sent_damian_num,lagged_context,train,22549888,22549888,10106335,1,0.44817673
ctx_sent_damian_num,lagged_context,validation,7745740,7745740,3414247,1,0.44079029
ctx_sent_ditian_num,lagged_context,test,7643556,7643556,780117,1,0.10206205
ctx_sent_ditian_num,lagged_context,train,22549888,22549888,5423464,1,0.24050958
ctx_sent_ditian_num,lagged_context,validation,7745740,7745740,474288,1,0.06123211
ctx_sent_down_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_down_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_down_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_downlimit_num,lagged_context,test,7643556,7643556,7331461,1,0.95916887
ctx_sent_downlimit_num,lagged_context,train,22549888,22549888,20225202,1,0.8969092
ctx_sent_downlimit_num,lagged_context,validation,7745740,7745740,7257233,1,0.93693217
ctx_sent_gt5_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_gt5_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_gt5_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_lb_2_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lb_2_num,lagged_context,train,22549888,22549888,22394202,1,0.99309593
ctx_sent_lb_2_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_lb_3_num,lagged_context,test,7643556,7643556,7332184,1,0.95926346
ctx_sent_lb_3_num,lagged_context,train,22549888,22549888,21306810,1,0.94487432
ctx_sent_lb_3_num,lagged_context,validation,7745740,7745740,7367370,1,0.95115121
ctx_sent_lb_h_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lb_h_num,lagged_context,train,22549888,22549888,21136905,1,0.93733969
ctx_sent_lb_h_num,lagged_context,validation,7745740,7745740,6257324,1,0.8078407
ctx_sent_lt5_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_lt5_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_lt5_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_max_lb_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_max_lb_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_max_lb_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_mian_num,lagged_context,test,7643556,7643556,7019125,1,0.91830622
ctx_sent_mian_num,lagged_context,train,22549888,22549888,19750914,1,0.87587637
ctx_sent_mian_num,lagged_context,validation,7745740,7745740,5657716,1,0.73042937
ctx_sent_tiandi_num,lagged_context,test,7643556,7643556,468022,1,0.06123092
ctx_sent_tiandi_num,lagged_context,train,22549888,22549888,1239463,1,0.05496537
ctx_sent_tiandi_num,lagged_context,validation,7745740,7745740,637204,1,0.08226509
ctx_sent_up_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_up_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_up_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_uplimit_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_uplimit_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_uplimit_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_sent_zb_num,lagged_context,test,7643556,7643556,7643556,1,1
ctx_sent_zb_num,lagged_context,train,22549888,22549888,22549888,1,1
ctx_sent_zb_num,lagged_context,validation,7745740,7745740,7745740,1,1
ctx_ths_hot_circulation_value,lagged_context,test,7643556,1304774,1304774,0.17070248,0.17070248
ctx_ths_hot_circulation_value,lagged_context,train,22549888,2867418,2867418,0.12715886,0.12715886
ctx_ths_hot_circulation_value,lagged_context,validation,7745740,1178490,1178490,0.15214686,0.15214686
ctx_ths_hot_last_pct,lagged_context,test,7643556,1304774,1293206,0.17070248,0.16918905
ctx_ths_hot_last_pct,lagged_context,train,22549888,2867418,2832473,0.12715886,0.12560918
ctx_ths_hot_last_pct,lagged_context,validation,7745740,1178490,1166681,0.15214686,0.15062228
ctx_ths_hot_last_price,lagged_context,test,7643556,1304774,1293206,0.17070248,0.16918905
ctx_ths_hot_last_price,lagged_context,train,22549888,2867418,2832714,0.12715886,0.12561987
ctx_ths_hot_last_price,lagged_context,validation,7745740,1178490,1166681,0.15214686,0.15062228
ctx_ths_hot_rank,lagged_context,test,7643556,1304774,1304774,0.17070248,0.17070248
ctx_ths_hot_rank,lagged_context,train,22549888,2867418,2867418,0.12715886,0.12715886
ctx_ths_hot_rank,lagged_context,validation,7745740,1178490,1178490,0.15214686,0.15214686
ctx_ths_hot_rank_diff,lagged_context,test,7643556,1304774,1244524,0.17070248,0.16282003
ctx_ths_hot_rank_diff,lagged_context,train,22549888,2867418,2768849,0.12715886,0.12278771
ctx_ths_hot_rank_diff,lagged_context,validation,7745740,1178490,1137520,0.15214686,0.1468575
ctx_zls_df_num,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_df_num,lagged_context,train,22549888,0,0,0,0
ctx_zls_df_num,lagged_context,validation,7745740,0,0,0,0
ctx_zls_lbgd,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_lbgd,lagged_context,train,22549888,0,0,0,0
ctx_zls_lbgd,lagged_context,validation,7745740,0,0,0,0
ctx_zls_strong,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_strong,lagged_context,train,22549888,0,0,0,0
ctx_zls_strong,lagged_context,validation,7745740,0,0,0,0
ctx_zls_ztjs,lagged_context,test,7643556,468745,468745,0.06132551,0.06132551
ctx_zls_ztjs,lagged_context,train,22549888,0,0,0,0
ctx_zls_ztjs,lagged_context,validation,7745740,0,0,0,0
