candidate_file,row_number,candidate_id,expression_hash,fields,field_lanes,missing_schema_fields,blocked_or_future_fields,signal_nonnull_sum,effective_signal_used,decision,blockers
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,1,phase3bp_event_00001,ff8c6ad00332048936263d3f,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,2,phase3bp_event_00002,ff4ced6a55185facaab61319,amount|ctx_ths_hot_last_pct|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,3,phase3bp_event_00003,fcf9b5e12740fbf8350d319c,amount|ctx_zls_df_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,4,phase3bp_event_00004,fc770d6b18cb4e5c05ab3763,amount|ctx_sent_lb_3_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,5,phase3bp_event_00005,fbc868f84b60b94a37eeac32,amount|ctx_ths_hot_circulation_value|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,6,phase3bp_event_00007,f9f2cd13d24065190b78053f,amount|ctx_sent_mian_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,7,phase3bp_event_00008,f943ef5af374d2d642403799,amount|ctx_sent_downlimit_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,8,phase3bp_event_00009,f86020d90a53db5818a61e72,amount|ctx_sent_lb_2_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,9,phase3bp_event_00011,f5d58051405c4fbf7b7ab7d3,amount|ctx_sent_ditian_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,10,phase3bp_event_00012,f4d0f4e9190c23955c8e1bab,amount|ctx_sent_downlimit_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,11,phase3bp_event_00013,f3197cabc11fe1ebefa35062,amount|ctx_sent_lt5_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,12,phase3bp_event_00014,f1348594e2b27dff1a4174ff,amount|ctx_ths_hot_rank_diff|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,13,phase3bp_event_00016,ef420eb1ac6596f95ec92fac,amount|ctx_ths_hot_last_price|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,14,phase3bp_event_00017,ecb0a37e94ac1cf29ccbbf9e,amount|ctx_sent_mian_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,15,phase3bp_event_00018,ec567a4a62627f67be881e10,amount|ctx_ths_hot_rank|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,16,phase3bp_event_00019,ec36224509e956cd6e7605e5,amount|ctx_sent_lb_3_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,17,phase3bp_event_00020,ea3afa211543649cad85101b,amount|ctx_sent_ditian_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,18,phase3bp_event_00021,e88d7cec7fa078d09a85fc56,amount|ctx_sent_up_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,19,phase3bp_event_00022,e787acd8f94eef883ca981f2,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,20,phase3bp_event_00023,e6b8f507d2254857fa2becfd,amount|ctx_sent_up_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,21,phase3bp_event_00025,e5ad8e5fb7368362ce695344,amount|ctx_zls_strong|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,22,phase3bp_event_00026,e25c1f8175c750a80c3582e7,amount|ctx_sent_down_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,23,phase3bp_event_00027,e0133cacaf5dd9be4dc7b014,amount|ctx_ths_hot_last_pct|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,24,phase3bp_event_00028,de3e024e100cda49bcf5f7f5,amount|ctx_ths_hot_circulation_value|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,25,phase3bp_event_00029,dd5acc2db5cd7c62be813a71,amount|ctx_zls_lbgd|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,26,phase3bp_event_00030,dc7b989cd912170cbb55972f,amount|ctx_zls_lbgd|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,27,phase3bp_event_00031,dc333ecead3d031655a70c97,amount|ctx_sent_zb_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,28,phase3bp_event_00032,db629ff193dd54c657546ef2,amount|ctx_sent_downlimit_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,29,phase3bp_event_00033,d9e9e2ef243c2898ee2480a7,amount|ctx_sent_downlimit_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,30,phase3bp_event_00034,d63d333776fa8abc45467fdd,amount|ctx_sent_damian_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,31,phase3bp_event_00035,d3579c3c8d890d3ddf3e09a2,amount|ctx_zls_lbgd|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,32,phase3bp_event_00036,d2eb38f95062021f62eafd67,amount|ctx_sent_lb_2_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,33,phase3bp_event_00037,d1a2e0d27ff24936ade28527,amount|ctx_sent_tiandi_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,34,phase3bp_event_00039,cfac87ec2bd3d03221862bf1,amount|ctx_sent_lt5_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,35,phase3bp_event_00040,ccf4874a4f703f40d154cbc7,amount|ctx_ths_hot_rank_diff|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,36,phase3bp_event_00041,cb7a87799eb7291ac47f998b,amount|ctx_ths_hot_last_price|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,37,phase3bp_event_00042,cae38b9d4fe3ac31aba60d69,amount|ctx_sent_ditian_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,38,phase3bp_event_00043,c9e0afca7188faec03e87665,amount|ctx_sent_gt5_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,39,phase3bp_event_00044,c7941b0c283fb11d9669ca07,amount|ctx_ths_hot_circulation_value|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,40,phase3bp_event_00046,c3ecd3b7910eb7901abfeca0,amount|ctx_sent_up_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,41,phase3bp_event_00047,c20fbce62fdd8f5f3f28a4af,amount|ctx_ths_hot_rank_diff|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,42,phase3bp_event_00048,c05c4e78562ee013631cba72,amount|ctx_sent_lb_2_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,43,phase3bp_event_00050,b723bd2baba5fe6db56a7893,amount|ctx_zls_strong|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,44,phase3bp_event_00051,b646e44f750d2657b4048bb4,amount|ctx_sent_ditian_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,45,phase3bp_event_00052,b4a80edc5addc293ec60489b,amount|ctx_sent_max_lb_num|evt_uplimit_type_code,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,46,phase3bp_event_00055,b21ecfa5d6dd4bc951942fcd,amount|ctx_zls_ztjs|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,47,phase3bp_event_00056,b1ad1459a7add670ffb512d8,amount|ctx_sent_zb_num|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
D:\ChengboRemote\workspace\alpha_pit_true1min_engine_20260624_182909_bea5eacbe591\reports\phase3cs_augmented_zls4_event_state_bp_20260624\phase3bp_top_decisions.csv,48,phase3bp_event_00057,b0e4bd5efc932754db6f18cc,amount|ctx_ths_hot_rank|evt_uplimit_up_limit_keep_times,direct_formula|event_state|lagged_context,,,0,false,bp_watch_or_reject,too_few_positive_horizons|weak_dense_primary_abs_ic
